country_name,country_iso3,year,indicator_name,indicator_code,value
Sri Lanka,LKA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.9591771647265
Sri Lanka,LKA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.1618561632913
Sri Lanka,LKA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.3804815818849
Sri Lanka,LKA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.5353213203636
Sri Lanka,LKA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.8496252591293
Sri Lanka,LKA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.220538988997
Sri Lanka,LKA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4756817094562
Sri Lanka,LKA,2022,Arable land (% of land area),AG.LND.ARBL.ZS,22.1791141286777
Sri Lanka,LKA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,22.1791141286777
Sri Lanka,LKA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,22.1791141286777
Sri Lanka,LKA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,22.1706061653805
Sri Lanka,LKA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,22.1712142764774
Sri Lanka,LKA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,21.3303604607952
Sri Lanka,LKA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,21.1655599179229
Sri Lanka,LKA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,21.0039907582441
Sri Lanka,LKA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,20.7303460373146
Sri Lanka,LKA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,20.7303460373146
Sri Lanka,LKA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,20.7303460373146
Sri Lanka,LKA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,20.7303460373146
Sri Lanka,LKA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,19.1357040344443
Sri Lanka,LKA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,19.1357040344443
Sri Lanka,LKA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,19.1357040344443
Sri Lanka,LKA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,15.9464200287036
Sri Lanka,LKA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,16.7437410301387
Sri Lanka,LKA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.5410620315739
Sri Lanka,LKA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,14.3517780258332
Sri Lanka,LKA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,15.1490990272684
Sri Lanka,LKA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,14.9258491468665
Sri Lanka,LKA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,14.6069207462925
Sri Lanka,LKA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,14.5909743262638
Sri Lanka,LKA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,14.4315101259767
Sri Lanka,LKA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,14.1763674055175
Sri Lanka,LKA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,14.1604209854888
Sri Lanka,LKA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,14.1444745654601
Sri Lanka,LKA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,14.1285281454314
Sri Lanka,LKA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,14.0806888853452
Sri Lanka,LKA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,14.0328496252591
Sri Lanka,LKA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,14.4315101259767
